Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
freeCodeCamp/freeCodeCamp;9.21;21847;0;0;TypeScript;98.49;384739
EbookFoundation/free-programming-books;10.42;6441;0;0;;97.56;314886
sindresorhus/awesome;9.67;641;0;0;;93.41;293177
public-apis/public-apis;7.97;1871;0;0;Python;97.86;284702
jwasham/coding-interview-university;7.76;397;0;0;;89.13;279574
996icu/996.ICU;4.96;1066;0;0;;0.0;268680
kamranahmedse/developer-roadmap;6.99;1787;1;0;TypeScript;59.09;268293
codecrafters-io/build-your-own-x;5.84;133;0;0;;70.65;249163
donnemartin/system-design-primer;7.03;196;0;0;Python;28.88;248461
facebook/react;10.8;9741;99;0;JavaScript;90.77;219856
vuejs/vue;10.62;1133;249;0;TypeScript;96.44;206529
vinta/awesome-python;9.7;540;0;0;Python;0.0;200346
tensorflow/tensorflow;8.34;16527;204;0;C++;95.09;181206
trekhleb/javascript-algorithms;5.96;288;0;0;JavaScript;63.42;180697
TheAlgorithms/Python;7.65;2724;0;0;Python;97.92;176387
getify/You-Dont-Know-JS;10.32;365;0;0;;91.34;175462
awesome-selfhosted/awesome-selfhosted;8.78;2395;1;0;;100.0;171919
CyC2018/CS-Notes;6.07;375;0;0;;77.43;171117
ohmyzsh/ohmyzsh;14.54;3069;0;0;Shell;97.31;167413
torvalds/linux;12.52;9;0;0;C;0.0;167268
twbs/bootstrap;12.62;8651;89;0;JavaScript;98.22;167047
flutter/flutter;9.01;36162;7;0;Dart;86.76;160573
ossu/computer-science;9.85;253;0;0;;97.45;160094
practical-tutorials/project-based-learning;6.91;182;0;0;;55.17;159473
Significant-Gravitas/AutoGPT;0.98;1524;20;0;JavaScript;96.31;158776
microsoft/vscode;8.52;23378;126;0;TypeScript;95.66;156858
github/gitignore;13.34;1523;0;0;;0.0;156337
jackfrued/Python-100-Days;6.02;13;0;0;Python;17.01;148158
jlevy/the-art-of-command-line;8.81;317;0;0;;54.81;145952
Snailclimb/JavaGuide;5.84;971;0;0;Java;94.17;141419
airbnb/javascript;11.36;802;0;0;JavaScript;93.06;140745
ytdl-org/youtube-dl;13.36;1620;341;0;Python;85.82;127556
trimstray/the-book-of-secret-knowledge;5.72;122;0;0;;0.0;125210
AUTOMATIC1111/stable-diffusion-webui;1.55;1656;20;0;Python;73.04;124799
labuladong/fucking-algorithm;4.05;232;1;0;Markdown;55.67;122657
huggingface/transformers;5.36;11821;141;0;Python;94.52;121720
vercel/next.js;7.43;16173;1000;0;JavaScript;87.06;118937
Chalarangelo/30-seconds-of-code;6.28;816;8;0;JavaScript;100.0;118439
golang/go;9.56;1;0;0;Go;85.66;118438
avelino/awesome-go;9.68;3118;0;0;Go;99.68;118011
facebook/react-native;9.17;803;303;0;C++;96.81;114996
electron/electron;10.92;18937;1000;0;C++;95.56;110901
justjavac/free-programming-books-zh_CN;10.35;282;3;0;;0.0;108571
